Doc_ID,Nama_Tempat,Lokasi,Rating,Teks_Mentah
1,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,"Tempat perkemahan yang cukup luas (mungkin cukup untuk 100an orang), lahan berumput namun terdapat beberapa saluran air buatan supaya air tidak menggenang.  Bersebelahan langsung dengan cabang sungai yang mengarah ke kali Oya, sehingga arus air cenderung lambat dan tidak berbahaya. Tidak direkomendasikan untuk berenang di sini karena air kotor, air di sini diutamakan sebagai sumber air irigasi persawahan.  Dikarenakan bersebelahan dengan aliran air, maka ketika malam akan cenderung banyak nyamuk di sini, bersiaplah.  MASIH BELUM DIKETAHUI UNTUK KEMAH/ BERKEGIATAN DI SINI MEMERLUKAN PERIJINAN/ BAYAR SEWA."
2,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,"Tempatnya asri banget, sangat cocok untuk berkemah atau sekedar piknik. Minusnya ada di jalan menuju ke lokasi, apalagi saat musim hujan. Jadi sangat sangat disarankan kesini saat musim kemarau aja, jangan kesini saat musim hujan karena akses jalan yang sulit dilalui, jalannya ada genangan air, becek dan genangannya dalem. Selain itu saat musim hujan sungainya jadi meluap, stay safe yaa."
3,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,Ideal unt camping ground semoga kebersihannya selalu terjaga
4,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",4,"Merupakan salah satu tempat perkemahan di Kabupaten Gunung Kidul. Lokasi sebelah utara obywk wisata Goa pindul. Perkemahaan ini menyediakan lokasi camping / kemah alam, cocok untuk keluarga dan organisasi. Disarankan unt tidak menginap, krn belum ada fasilitas MCK, hanya ada air dari aliran sungai. Pemukiman pendudu berjarak -+1km dari lokasi Pengunjung dapat membawa sendiri alat kemah atau menyewa tenda dan perlengkapan camp yang disediakan. Lebih mengasyikan berkunjung untuk bbrp waktu dengan membawa perlengkapan dr rumah, tidak ditariknHTM. Meski fasilitas belum memadai, tapi viewnya kerennnn..."
5,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",4,Hizbul Wathan SMK Muh Wonosari pernah kemah disini tahun 2011. Untuk toilet masih numpang warga sekitar & membuat sendiri toilet darurat.
6,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,"Bumi perkemahan yg luas dan sejuk dkt dengan sungai yg oleh warga sekitar di fungsikan untuk mandi dan nyuci sehari 2nya,warga sekitar jg ramah2"
7,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,"hallo ka, apakah ada nomor aktif yang bisa dihubungi?"
8,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",4,"Tempatnya nyaman, sayang sekarang pohon-pohonnya tinggal sedikit."
9,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,Benar2 dapat mendidik sederhana utk generasi selanjutnya
10,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,Pemandangan yg cukup memanjakan mata
11,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",4,Tempat renang pas lagi di tempat simbah
12,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,Tempatnya sejuk untuk berkemah
13,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,Pariwisata keluarga besar bakri textil
14,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,Tempat perkemahan recommended
15,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",4,Tempat luas
16,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",4,Keren dan alami
17,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",5,Puncak
18,Bumi Perkemahan Sambi Sewu - Seropan,"Gunungkidul, DIY",4,Menyukai
19,Camping Ground Wanagama,"Gunungkidul, DIY",5,lokasi sangat horor dan membingungkan bagi yang belum ke daerah ini. Tapi asri adhem ayem sejenak istirahat..
20,Camping Ground Wanagama,"Gunungkidul, DIY",5,"Cocok buat yg pengen self healing & butuh tempat yg tenang, jauh dari riuh suasana kota 🧘🏻‍♂️ …"
21,Camping Ground Wanagama,"Gunungkidul, DIY",5,Tempat sutingnya KKN desa Penari bagian pendopo
